Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated December 08 2025


year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Business & Industry,Prepared Foods,Mistakes & Malfunctions,Cooking Issues,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Mistakes & Malfunctions,Equipment Issues,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Mistakes & Malfunctions,Handling Errors,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Other,Other,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Spoiled,Spoiled,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Trimmings & Byproducts,Trimmings & Byproducts,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Produce,Date Label Concerns,Date Label Concerns,150.08200153452253,543169.5969878304,33.00354720280004,0.0
2024,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Cooking Issues,29.62448110166843,107215.50416733671,6.514525062303847,29.62448110166843
2024,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Equipment Issues,21.132898321553352,76483.17417903397,4.647196866753716,21.132898321553352
2024,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Handling Errors,31.46880677336763,113890.39936841604,6.9200986070387165,31.46880677336763
2024,Foodservice,Business & Industry,Produce,Other,Other,11.219647836170143,40605.612473232584,2.4672390638037895,11.219647836170143
2024,Foodservice,Business & Industry,Produce,Spoiled,Spoiled,266.6203299150159,964939.5375060304,58.630725560734646,266.6203299150159
2024,Foodservice,Business & Industry,Produce,Trimmings & Byproducts,Trimmings & Byproducts,3332.196983891039,12059727.844233388,3332.196983891039,3332.196983891039
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Date Label Concerns,Date Label Concerns,595.7706467802877,625757.0522571029,0.0,0.0
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Mistakes & Malfunctions,Cooking Issues,0.7532183995705075,791.1294857648062,0.0,0.7532183995705075
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Mistakes & Malfunctions,Equipment Issues,37.58559813856845,39477.36133966383,0.0,37.58559813856845
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Mistakes & Malfunctions,Handling Errors,12.955356472612769,13607.427155154666,0.0,12.955356472612769
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Other,Other,4.5695249573944245,4799.518880306491,0.0,4.5695249573944245
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Spoiled,Spoiled,70.7021004396852,74260.68773045648,0.0,70.7021004396852
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,1788.3915533802476,1878405.1090342384,1788.3915533802476,1788.3915533802476
